[Name]
main inlet

[Spatial Fields]
x,y,z

[Data]
x [ m ], y [ m ], z [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
2.820583580E-01,-1.883037813E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.270517180E-01
1.748606860E-01,-1.892647848E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,8.315970240E-01
2.152982650E-01,-1.784363300E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898830E-01
-1.660140750E-01,-1.851415649E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,8.014480700E-01
-2.283515480E-01,-1.772721991E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,5.848011090E-01
-1.171627570E-01,-1.718707591E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898760E-01
-4.788099030E-04,-1.695283294E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285899990E-01
-1.354036950E-02,-1.887702249E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,9.488234940E-01
-1.865109500E-01,-1.983777711E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,8.598020120E-01
1.456576440E-01,-2.078991063E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,8.901770510E-01
2.850584090E-01,-2.116112508E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.210383560E-01
2.166487570E-01,-2.214279592E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285902900E-01
1.162784770E-01,-1.718340904E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898780E-01
-2.811080220E-01,-2.117604487E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898580E-01
-3.047156330E-01,-2.000957353E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898660E-01
-7.104058560E-02,-2.149453670E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,8.904673430E-01
1.217428890E-01,-2.289721072E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.049614780E-01
3.077992800E-01,-2.000000026E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.210384130E-01
-2.818413670E-01,-1.884164125E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285899760E-01
1.435795220E-03,-2.304713756E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898620E-01
-1.153930950E-01,-2.282023013E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,6.285898150E-01
-2.428823710E-01,-2.244797543E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,5.243292670E-01
4.618645910E-01,-1.808476880E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00
5.000000000E-01,-2.000000000E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,0.000000000E+00
4.787461460E-01,-1.999999996E+00,-4.000000000E+00,0.000000000E+00,0.000000000E+00,8.320851080E-02
